debugI5RIIL:debug1WE1NF,0,1604091412810,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugI5RIIL:debug1WE1NF,1,1604091421770,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 8957, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugI5RIIL:debug1WE1NF,2,1604091421782,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugI5RIIL:debug1WE1NF,3,1604091429779,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugDRQX97:debugDQC3II,0,1604091667341,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugDRQX97:debugDQC3II,1,1604091668285,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 941, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugDRQX97:debugDQC3II,2,1604091668295,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugDRQX97:debugDQC3II,3,1604091672762,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugXS5FE5:debug3AN76P,0,1604091874177,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugXS5FE5:debug3AN76P,1,1604091875070,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 889, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugXS5FE5:debug3AN76P,2,1604091875078,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugXS5FE5:debug3AN76P,3,1604091879398,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugG2RC8O:debug4MTJTQ,0,1604092255852,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugG2RC8O:debug4MTJTQ,1,1604092256750,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 892, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugG2RC8O:debug4MTJTQ,2,1604092256758,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugG2RC8O:debug4MTJTQ,3,1604092264447,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugRKT5NQ:debugD5M2R6,0,1604092584178,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugRKT5NQ:debugD5M2R6,1,1604092585035,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 855, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugRKT5NQ:debugD5M2R6,2,1604092585046,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugRKT5NQ:debugD5M2R6,3,1604092590928,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debugH7GL0J:debugK3RES0,0,1604092701478,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugH7GL0J:debugK3RES0,1,1604092702502,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1020, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugH7GL0J:debugK3RES0,2,1604092702514,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugH7GL0J:debugK3RES0,3,1604092706683,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug4NPJ47:debugPLT4BB,0,1604092854622,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debug4NPJ47:debugPLT4BB,1,1604092855550,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 922, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debug4NPJ47:debugPLT4BB,2,1604092855564,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug4NPJ47:debugPLT4BB,3,1604092859996,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
